Library,Symbol,Value,Description,Footprint,Datasheet
Power_Supervisor,MAX692ACSA,MAX692ACSA,"Microprocessor Supervisory Circuit, Battery-Backup Power Switching, Power-Fail Comparator, VCC / VBATT 1.0...5.5V, Reset Threshold 4.40V, Reset Pulse Width 200ms, Watchdog Timeout 1.60s, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX690A-MAX805L.pdf
Regulator_SwitchedCapacitor,TPS60403DBV,TPS60403DBV,"Unregulated 60-mA Charge Pump Voltage Inverter with Fixed Switching Frequency 250 kHz, SOT-23-5",Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/tps60401.pdf
Regulator_SwitchedCapacitor,TPS60400DBV,TPS60400DBV,"Unregulated 60-mA Charge Pump Voltage Inverter with Variable Switching Frequency 50 kHz - 250 kHz, SOT-23-5",Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/tps60400.pdf
Regulator_SwitchedCapacitor,LM2775DSG,LM2775DSG,"5V charge pump, 200mA, WSON-8",Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,https://www.ti.com/lit/gpn/lm2775
Interface_USB,CYPD3174-24LQXQ,CYPD3174-24LQXQ,"USB Type-C port controller, Cortex®-M0 processor, DFP CC with opto coupler feedback bootloader, QFN-24",Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,https://www.infineon.com/dgdl/Infineon-EZ-PD(TM)_CCG3PA_Datasheet_USB_Type-C_Port_Controller-DataSheet-v09_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee438366ac0
Interface_USB,CYPD3177-24LQ,CYPD3177-24LQ,"Stand-alone USB PD controller (with sink Auto-run mode), QFN-24",Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,https://www.infineon.com/dgdl/Infineon-EZ-PD_BCR_Datasheet_USB_Type-C_Port_Controller_for_Power_Sinks-DataSheet-v03_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee7ce9d70ad
Interface_Expansion,LTC4317,LTC4317,"Dual I2C/SMBus Address-Translator, DFN-16",Package_DFN_QFN:DFN-16-1EP_3x5mm_P0.5mm_EP1.66x4.4mm,https://www.analog.com/media/en/technical-documentation/data-sheets/4317fa.pdf
Transformer,Wuerth_750343373,Wuerth_750343373,"Primary 18-60V 300kHz, Dual Secondary 12V-3A/12V-1A, Flyback Transformer, PCB",Transformer_THT:Transformer_Wuerth_750343373,https://katalog.we-online.com/ctm/datasheet/750343373.pdf
Transistor_BJT,BC337,BC337,"0.8A Ic, 45V Vce, NPN Transistor, TO-92",Package_TO_SOT_THT:TO-92_Inline,https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf
Interface_USB,AP33771,AP33771,"USB Type-C PD Sink Controller, QFN-24",Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,https://www.diodes.com/assets/Datasheets/AP33771.pdf
